field	presence_f1_all	presence_recall_all	presence_n_items_all	presence_n_true_all	presence_tp_all	value_f1_all	value_recall_all	value_n_items_all	value_n_true_all	value_tp_all	notes
组成	0.9643	0.9310	128	87	81	0.9196	0.8512	84599	83503	71079	strict heading parsing vs relaxed reference definition on OCR-derived text
用法	0.9682	0.9383	128	81	76	0.8314	0.7115	84599	78748	56030	strict heading parsing vs relaxed reference definition on OCR-derived text
功用	0.7500	0.6000	128	15	9	0.7782	0.6369	84599	17308	11024	strict heading parsing vs relaxed reference definition on OCR-derived text
主治	0.8750	0.7778	128	81	63	0.8944	0.8090	84599	78123	63200	strict heading parsing vs relaxed reference definition on OCR-derived text
