task_id	task_name	unit_of_annotation	label_space	primary_metrics	split_strategy	release_tier
doc_type_classification	文档类型分类	片段/连续行块	FRONT_TITLE|BIB_RIGHTS|EDITORIAL_PARATEXT|TOC_INDEX|TABLE_HTML|IMAGE_PLACEHOLDER|FORMULA_ENTRY_FULL|FORMULA_ENTRY_REDIRECT|FORMULA_ENTRY_NOISY|OCR_NOISE|MIXED_UNKNOWN	accuracy|macro_f1	stratified_by_volume_and_doc_type	T3_PUBLIC_DERIVED
entry_segmentation	条目边界切分	条目起止边界	entry_start|entry_end|entry_type	span_f1|boundary_precision|boundary_recall	grouped_by_volume_with_hard_case_holdout	T3_PUBLIC_DERIVED
field_extraction	字段抽取	条目内字段跨度	source_citation|alias|composition|usage|efficacy|indication|contraindication|modification|commentary|clinical_report|modern_research|notes	micro_f1|macro_f1|per_field_f1	grouped_by_volume_with_template_leakage_check	T3_PUBLIC_DERIVED
herb_normalization	药物与剂量规范化	组成项	canonical_herb|processing|dose|unit	exact_match|macro_f1|slot_f1	disjoint_by_formula_cluster_and_source_pattern	T3_PUBLIC_DERIVED
alias_resolution	同方异名归并	方名对/方名簇	same_formula|different_formula|redirect_only	pair_f1|bcubed_f1|cluster_purity	disjoint_by_formula_cluster_and_headword_family	T3_PUBLIC_DERIVED
